,volume,open,high,low,close,caldt
0,87371218.0,25.32,25.755,25.31,25.635,2023-12-26
1,111495576.0,25.675,25.83,25.51,25.77,2023-12-27
2,85768226.0,25.96,26.005,25.635,25.705,2023-12-28
3,134245376.0,25.69,25.7618,25.0,25.35,2023-12-29
4,176270660.0,24.675,24.715,23.6325,24.065,2024-01-02
5,167812246.0,23.585,23.77,23.2151,23.295,2024-01-03
6,143735416.0,22.935,23.485,22.865,22.905,2024-01-04
7,170481518.0,22.93,23.46,22.735,22.99,2024-01-05
8,135374148.0,23.195,24.45,23.165,24.375,2024-01-08
9,148431534.0,23.83,24.705,23.805,24.535,2024-01-09
10,147621022.0,24.585,25.205,24.4201,25.02,2024-01-10
11,190228316.0,25.225,25.485,24.2,25.14,2024-01-11
12,128214080.0,25.335,25.49,24.92,25.17,2024-01-12
13,145874028.0,24.94,25.455,24.665,25.155,2024-01-16
14,166554576.0,24.535,24.795,23.935,24.72,2024-01-17
15,182140852.0,25.295,25.86,25.055,25.78,2024-01-18
16,186359474.0,26.16,27.31,26.05,27.27,2024-01-19
17,149656512.0,27.705,27.96,27.2551,27.38,2024-01-22
18,112172002.0,27.505,27.74,27.14,27.705,2024-01-23
19,179718578.0,28.475,28.95,28.0575,28.16,2024-01-24
20,151395204.0,28.63,28.765,27.76,28.24,2024-01-25
21,128382580.0,27.84,28.195,27.59,27.72,2024-01-26
22,115977180.0,27.805,28.6,27.67,28.535,2024-01-29
23,119554438.0,28.345,28.4575,27.8,27.965,2024-01-30
24,203451596.0,27.095,27.492,26.29,26.32,2024-01-31
25,162261462.0,26.645,27.32,26.455,27.25,2024-02-01
26,198504962.0,27.59,28.84,27.395,28.62,2024-02-02
27,139947760.0,28.595,28.71,27.785,28.475,2024-02-05
28,140124224.0,28.69,28.82,27.82,28.31,2024-02-06
29,131823434.0,28.845,29.33,28.585,29.155,2024-02-07
30,98922134.0,29.155,29.445,29.01,29.275,2024-02-08
31,110222006.0,29.515,30.305,29.356,30.135,2024-02-09
32,116254988.0,30.105,30.57,29.6375,29.78,2024-02-12
33,188932910.0,28.12,28.935,27.7175,28.37,2024-02-13
34,156151430.0,28.9,29.375,28.4301,29.27,2024-02-14
35,130057178.0,29.405,29.6051,28.865,29.515,2024-02-15
36,151932942.0,29.58,29.605,28.555,28.705,2024-02-16
37,163321094.0,28.29,28.59,27.275,28.04,2024-02-20
38,154586302.0,27.485,27.71,26.91,27.69,2024-02-21
39,179279230.0,29.39,30.2975,29.2451,30.085,2024-02-22
40,140390800.0,30.415,30.61,29.61,29.81,2024-02-23
41,109875358.0,29.97,30.185,29.715,29.77,2024-02-26
42,109399736.0,29.98,30.045,29.435,29.955,2024-02-27
43,123503396.0,29.515,29.7625,29.2751,29.47,2024-02-28
44,136959760.0,30.04,30.425,29.39,30.18,2024-02-29
45,140959680.0,30.375,31.755,30.365,31.565,2024-03-01
46,120418562.0,31.545,31.64,31.1525,31.19,2024-03-04
47,193206906.0,30.55,30.55,29.01,29.52,2024-03-05
48,181677328.0,30.37,30.713,29.675,30.065,2024-03-06
49,142370894.0,30.775,31.6575,30.457,31.405,2024-03-07
50,296451260.0,31.46,32.065,29.885,30.03,2024-03-08
51,146769956.0,29.705,29.94,29.28,29.68,2024-03-11
52,170559944.0,30.145,31.02,29.48,30.94,2024-03-12
53,143779740.0,30.72,30.7275,29.9844,30.22,2024-03-13
54,162480358.0,30.435,30.55,29.395,29.975,2024-03-14
55,140883816.0,29.345,29.4609,28.6425,28.88,2024-03-15
56,129193746.0,29.94,30.4,29.645,29.695,2024-03-18
57,118809994.0,29.27,29.99,28.8401,29.9,2024-03-19
58,156555918.0,30.035,30.915,29.68,30.85,2024-03-20
59,126541872.0,31.875,31.975,31.21,31.25,2024-03-21
60,91574794.0,31.135,31.585,30.9524,31.315,2024-03-22
61,86669328.0,30.74,31.315,30.53,30.995,2024-03-25
62,93985988.0,31.305,31.505,30.64,30.705,2024-03-26
63,111388644.0,31.285,31.315,30.355,30.975,2024-03-27
64,87023300.0,30.945,31.115,30.7,30.78,2024-03-28
65,112290506.0,30.96,31.495,30.56,30.97,2024-04-01
66,109672728.0,29.935,30.21,29.5005,30.14,2024-04-02
67,111683784.0,29.7,30.73,29.69,30.34,2024-04-03
68,167520380.0,31.175,31.305,28.8701,28.91,2024-04-04
69,154897264.0,29.2,30.4644,29.0275,29.93,2024-04-05
70,89725420.0,30.105,30.33,29.656,29.95,2024-04-08
71,120311874.0,30.405,30.4675,29.2875,30.26,2024-04-09
72,202080508.0,29.18,29.6375,29.03,29.465,2024-04-10
73,146931174.0,29.805,31.03,29.3418,30.85,2024-04-11
74,172589806.0,29.94,30.175,29.06,29.36,2024-04-12
