,volume,open,high,low,close,caldt
0,104654163.0,250.08,251.25,244.41,248.42,2024-01-02
1,121082599.0,244.98,245.68,236.32,238.45,2024-01-03
2,102629283.0,239.25,242.7,237.73,237.93,2024-01-04
3,92488939.0,236.86,240.1196,234.9001,237.49,2024-01-05
4,85166580.0,236.14,241.25,235.3,240.45,2024-01-08
5,96705664.0,238.11,238.9646,232.04,234.96,2024-01-09
6,91628502.0,235.1,235.5,231.29,233.94,2024-01-10
7,105873612.0,230.57,230.93,225.37,227.22,2024-01-11
8,123043812.0,220.08,225.34,217.1501,218.89,2024-01-12
9,115355046.0,215.1,223.49,212.18,219.91,2024-01-16
10,103164400.0,214.86,215.67,212.01,215.55,2024-01-17
11,108595431.0,216.88,217.45,208.74,211.88,2024-01-18
12,102260343.0,209.99,213.19,207.56,212.19,2024-01-19
13,117952527.0,212.26,217.8,206.27,208.8,2024-01-22
14,106605946.0,211.3,215.65,207.7516,209.14,2024-01-23
15,123369932.0,211.88,212.73,206.77,207.83,2024-01-24
16,198133347.0,189.7,193.0,180.06,182.63,2024-01-25
17,107343231.0,185.5,186.78,182.1,183.25,2024-01-26
18,125013148.0,185.63,191.48,183.67,190.93,2024-01-29
19,109982327.0,195.33,196.3593,190.61,191.59,2024-01-30
20,103221430.0,186.995,193.97,185.8459,187.29,2024-01-31
21,91843275.0,188.5,189.88,184.28,188.86,2024-02-01
22,110612672.0,185.04,188.69,182.0,187.91,2024-02-02
23,134294447.0,184.26,184.68,175.01,181.06,2024-02-05
24,122675954.0,177.21,186.49,177.11,185.1,2024-02-06
25,111535217.0,188.18,189.79,182.68,187.58,2024-02-07
26,83034043.0,189.0,191.6171,185.58,189.56,2024-02-08
27,84476347.0,190.18,194.12,189.48,193.57,2024-02-09
28,95498597.0,192.11,194.73,187.28,188.13,2024-02-12
29,86759478.0,183.99,187.26,182.1087,184.02,2024-02-13
30,81202987.0,185.3,188.89,183.35,188.71,2024-02-14
31,120831762.0,189.16,200.88,188.8595,200.45,2024-02-15
32,111346705.0,202.06,203.17,197.4,199.95,2024-02-16
33,104545762.0,196.13,198.6,189.13,193.76,2024-02-20
34,103844008.0,193.36,199.44,191.95,194.77,2024-02-21
35,92739461.0,194.0,198.32,191.36,197.41,2024-02-22
36,78841917.0,195.31,197.57,191.5,191.97,2024-02-23
37,111747116.0,192.29,201.78,192.0,199.4,2024-02-26
38,108645412.0,204.04,205.6,198.26,199.73,2024-02-27
39,99806173.0,200.42,205.3,198.44,202.04,2024-02-28
40,85906974.0,204.18,205.28,198.4463,201.88,2024-02-29
41,82243119.0,200.52,204.52,198.5,202.64,2024-03-01
42,134334869.0,198.73,199.75,186.72,188.14,2024-03-04
43,119660758.0,183.05,184.59,177.57,180.74,2024-03-05
44,107920944.0,179.99,181.576,173.7,176.54,2024-03-06
45,102129004.0,174.35,180.04,173.7,178.65,2024-03-07
46,85544644.0,181.5,182.73,174.7,175.34,2024-03-08
47,85391528.0,175.445,182.87,174.8,177.77,2024-03-11
48,87391684.0,177.77,179.43,172.4101,177.54,2024-03-12
49,106524518.0,173.05,176.05,169.15,169.48,2024-03-13
50,126325696.0,167.77,171.17,160.51,162.5,2024-03-14
51,97146832.0,163.16,165.1845,160.76,163.57,2024-03-15
52,108214358.0,170.02,174.72,165.9,173.8,2024-03-18
53,77271428.0,172.36,172.82,167.42,171.32,2024-03-19
54,83846726.0,173.0,176.25,170.82,175.66,2024-03-20
55,73178014.0,176.39,178.18,171.8,172.82,2024-03-21
56,75580637.0,166.69,171.2,166.3,170.83,2024-03-22
57,74228615.0,168.76,175.24,168.73,172.63,2024-03-25
58,113186227.0,178.58,184.25,177.38,177.67,2024-03-26
59,81804043.0,181.41,181.91,176.0,179.83,2024-03-27
60,77654838.0,177.45,179.57,175.3,175.79,2024-03-28
61,81562127.0,176.17,176.75,170.21,175.22,2024-04-01
62,116650594.0,164.75,167.69,163.43,166.63,2024-04-02
63,82950141.0,164.02,168.82,163.28,168.38,2024-04-03
64,123161960.0,170.07,177.19,168.01,171.11,2024-04-04
65,143157603.0,169.08,170.86,160.51,164.9,2024-04-05
66,104423320.0,169.34,174.5,167.79,172.98,2024-04-08
67,103232675.0,172.91,179.22,171.92,176.88,2024-04-09
68,84532407.0,173.04,174.93,170.01,171.76,2024-04-10
69,94515987.0,172.55,175.88,168.51,174.6,2024-04-11
70,64722669.0,172.34,173.8099,170.3644,171.05,2024-04-12
71,100245310.0,170.24,170.69,161.38,161.48,2024-04-15
72,96999956.0,156.742,158.19,153.75,157.11,2024-04-16
73,82439718.0,157.64,158.33,153.78,155.45,2024-04-17
74,96098830.0,151.25,152.2,148.7,149.93,2024-04-18
75,87074500.0,148.97,150.94,146.22,147.05,2024-04-19
76,107097564.0,140.56,144.44,138.8025,142.05,2024-04-22
77,124545104.0,143.33,147.26,141.11,144.68,2024-04-23
78,181251511.0,162.84,167.97,157.51,162.13,2024-04-24
79,126427521.0,158.96,170.88,158.36,170.18,2024-04-25
80,109815725.0,168.85,172.12,166.37,168.29,2024-04-26
81,243869678.0,188.42,198.87,184.54,194.05,2024-04-29
82,127031787.0,186.98,190.95,182.8401,183.28,2024-04-30
83,92829719.0,182.0,185.86,179.01,179.99,2024-05-01
84,89148041.0,182.86,184.6,176.02,180.01,2024-05-02
85,75491539.0,182.1,184.78,178.42,181.19,2024-05-03
86,84390253.0,183.8,187.56,182.2,184.76,2024-05-06
87,75045854.0,182.4,183.26,177.4,177.81,2024-05-07
88,79969488.0,171.59,176.06,170.15,174.72,2024-05-08
89,65950292.0,175.01,175.62,171.37,171.97,2024-05-09
90,72627178.0,173.05,173.0599,167.75,168.47,2024-05-10
91,67018903.0,170.0,175.4,169.0,171.89,2024-05-13
92,86407422.0,174.4959,179.49,174.07,177.55,2024-05-14
93,79662993.0,179.9,180.0,173.11,173.99,2024-05-15
94,59812220.0,174.1,175.79,171.43,174.84,2024-05-16
95,77445845.0,173.55,179.63,172.75,177.46,2024-05-17
96,61727425.0,177.56,177.754,173.52,174.95,2024-05-20
97,115266512.0,175.51,186.875,174.71,186.6,2024-05-21
98,88313477.0,182.85,183.8,178.12,180.11,2024-05-22
99,71975496.0,181.8,181.9,173.26,173.74,2024-05-23
100,65584478.0,174.835,180.08,173.73,179.24,2024-05-24
101,59736620.0,176.4,178.25,173.16,176.75,2024-05-28
102,54782649.0,174.19,178.15,173.93,176.19,2024-05-29
103,77784755.0,178.575,182.67,175.38,178.79,2024-05-30
104,67314602.0,178.5,180.32,173.82,178.08,2024-05-31
105,68568920.0,178.13,182.6389,174.49,176.29,2024-06-03
106,60056340.0,174.775,177.755,174.0,174.77,2024-06-04
107,57953756.0,175.35,176.15,172.13,175.0,2024-06-05
108,69887024.0,174.6,179.73,172.73,177.94,2024-06-06
109,56244932.0,176.13,179.35,175.58,177.48,2024-06-07
110,50869682.0,176.06,178.57,173.17,173.79,2024-06-10
111,64761928.0,173.92,174.75,167.41,170.66,2024-06-11
112,90389446.0,171.12,180.55,169.8,177.29,2024-06-12
113,118984122.0,188.39,191.08,181.23,182.47,2024-06-13
114,82038194.0,185.8,186.0,176.92,178.01,2024-06-14
115,109786083.0,177.92,188.81,177.0,187.44,2024-06-17
116,68982265.0,186.56,187.2,182.37,184.86,2024-06-18
117,55893139.0,184.68,185.21,179.66,181.57,2024-06-20
118,63029482.0,182.3,183.95,180.69,183.01,2024-06-21
119,61992070.0,184.97,188.8,182.55,182.58,2024-06-24
120,63678265.0,184.4,187.97,182.01,187.35,2024-06-25
121,95737066.0,186.54,197.755,186.36,196.37,2024-06-26
122,72746521.0,195.17,198.72,194.05,197.42,2024-06-27
123,95438068.0,199.55,203.2,195.26,197.88,2024-06-28
124,135691395.0,201.02,213.23,200.85,209.86,2024-07-01
125,205047920.0,218.89,231.3,218.06,231.26,2024-07-02
126,166561471.0,234.56,248.35,234.25,246.39,2024-07-03
127,154501152.0,249.81,252.37,242.4601,251.52,2024-07-05
128,157219580.0,247.71,259.439,244.57,252.94,2024-07-08
129,160742516.0,251.0,265.61,250.3,262.33,2024-07-09
130,128519430.0,262.8,267.59,257.86,263.26,2024-07-10
131,221707273.0,263.3,271.0,239.65,241.03,2024-07-11
132,155955773.0,235.8,251.84,233.0912,248.23,2024-07-12
133,146912920.0,255.97,265.6,251.73,252.64,2024-07-15
134,126332470.0,255.31,258.62,245.8001,256.56,2024-07-16
135,115584810.0,252.73,258.47,246.182,248.5,2024-07-17
136,110869037.0,251.09,257.14,247.2,249.23,2024-07-18
137,87403903.0,247.79,249.44,236.83,239.2,2024-07-19
138,101225430.0,244.21,253.21,243.75,251.51,2024-07-22
139,111928192.0,253.6,255.7594,245.63,246.38,2024-07-23
140,167942939.0,225.42,225.99,214.71,215.99,2024-07-24
141,100636466.0,216.8,226.0,216.231,220.25,2024-07-25
142,94604145.0,221.19,222.2799,215.33,219.8,2024-07-26
143,129201789.0,224.9,234.27,224.7,232.1,2024-07-29
144,100560334.0,232.25,232.41,220.0,222.62,2024-07-30
145,67497011.0,227.9,234.68,226.7875,232.07,2024-07-31
146,83861898.0,227.69,231.867,214.3328,216.86,2024-08-01
147,82880120.0,214.88,216.13,205.78,207.67,2024-08-02
148,100308836.0,185.22,203.8799,182.0,198.88,2024-08-05
149,73783942.0,200.75,202.9,192.67,200.64,2024-08-06
150,71159778.0,200.77,203.49,191.48,191.76,2024-08-07
151,65033874.0,195.7,200.7,192.04,198.84,2024-08-08
152,58648274.0,197.05,200.88,195.11,200.0,2024-08-09
153,64044903.0,199.02,199.26,194.67,197.49,2024-08-12
154,76247387.0,198.47,208.49,197.06,207.83,2024-08-13
155,70250014.0,207.39,208.44,198.75,201.38,2024-08-14
156,89848530.0,205.02,215.88,204.82,214.14,2024-08-15
157,88765122.0,211.15,219.8,210.8,216.12,2024-08-16
158,76435222.0,217.07,222.98,214.09,222.72,2024-08-19
159,74001182.0,224.88,228.22,219.56,221.1,2024-08-20
160,70145964.0,222.67,224.6594,218.86,223.27,2024-08-21
161,79514482.0,223.82,224.8,210.32,210.66,2024-08-22
162,81525207.0,214.455,221.48,214.21,220.32,2024-08-23
163,59301187.0,218.75,219.09,211.01,213.21,2024-08-26
164,62821390.0,213.25,215.66,206.94,209.21,2024-08-27
